LCLid,StdorToU,Acorn,Acorn_grouped,block_num,energy_sum,group_average,energy_average,tarrif_types,acorn_types
MAC005492,ToU,ACORN-,ACORN-,0,4149.144,15.25529409,7.489429603,1,0
MAC001074,ToU,ACORN-,ACORN-,0,5225.802997,15.25529409,23.02115858,1,0
MAC000002,Std,ACORN-A,Affluent,0,6095.672001,19.21664098,12.07063763,0,1
MAC003613,Std,ACORN-A,Affluent,0,16724.291,19.21664098,33.05195849,0,1
MAC003597,Std,ACORN-A,Affluent,0,14539.33999,19.21664098,28.6771992,0,1
MAC003579,Std,ACORN-A,Affluent,0,5562.601,19.21664098,10.95000197,0,1
MAC003566,Std,ACORN-A,Affluent,0,14757.164,19.21664098,29.04953543,0,1
MAC003557,Std,ACORN-A,Affluent,0,4072.403999,19.21664098,9.98138235,0,1
MAC003553,Std,ACORN-A,Affluent,0,8789.250002,19.21664098,17.26768173,0,1
MAC003482,Std,ACORN-A,Affluent,0,6755.175001,19.21664098,13.14236382,0,1
MAC003463,Std,ACORN-A,Affluent,0,4864.518999,19.21664098,15.49209872,0,1
MAC003449,Std,ACORN-A,Affluent,0,25212.01001,19.21664098,48.95535923,0,1
MAC003428,Std,ACORN-A,Affluent,0,13490.68,19.21664098,26.14472868,0,1
MAC003423,Std,ACORN-A,Affluent,0,9221.997,19.21664098,17.87208721,0,1
MAC003422,Std,ACORN-A,Affluent,0,9491.496996,19.21664098,18.46594746,0,1
MAC003400,Std,ACORN-A,Affluent,0,6325.241999,19.21664098,12.18736416,0,1
MAC003394,Std,ACORN-A,Affluent,0,14126.34399,19.21664098,27.2183892,0,1
MAC003388,Std,ACORN-A,Affluent,0,14971.887,19.21664098,28.84756648,0,1
MAC003348,Std,ACORN-A,Affluent,0,5221.032,19.21664098,11.73265618,0,1
MAC000246,Std,ACORN-A,Affluent,0,13772.934,19.21664098,16.81676924,0,1
MAC003305,Std,ACORN-A,Affluent,0,8232.836,19.21664098,15.74156023,0,1
MAC003281,Std,ACORN-A,Affluent,0,4926.903001,19.21664098,9.366735743,0,1
MAC003252,Std,ACORN-A,Affluent,0,6667.668,19.21664098,12.77331034,0,1
MAC003239,Std,ACORN-A,Affluent,0,4003.690999,19.21664098,7.568413988,0,1
MAC003646,Std,ACORN-A,Affluent,0,5377.506,19.21664098,10.64852673,0,1
MAC003656,Std,ACORN-A,Affluent,0,8930.842998,19.21664098,17.68483762,0,1
MAC003668,Std,ACORN-A,Affluent,0,18540.225,19.21664098,36.93271913,0,1
MAC003680,Std,ACORN-A,Affluent,0,8501.060998,19.21664098,16.96818562,0,1
MAC004431,Std,ACORN-A,Affluent,0,15239.314,19.21664098,21.43363432,0,1
MAC004387,Std,ACORN-A,Affluent,0,3075.607,19.21664098,4.301548252,0,1
MAC004319,Std,ACORN-A,Affluent,0,31514.59899,19.21664098,48.8598434,0,1
MAC004247,Std,ACORN-A,Affluent,0,13970.421,19.21664098,21.6260387,0,1
MAC004179,Std,ACORN-A,Affluent,0,65623.649,19.21664098,101.1150216,0,1
MAC004034,Std,ACORN-A,Affluent,0,4919.275,19.21664098,11.18017045,0,1
MAC003874,Std,ACORN-A,Affluent,0,5456.398,19.21664098,11.09023984,0,1
MAC003863,Std,ACORN-A,Affluent,0,6845.674,19.21664098,13.91397154,0,1
MAC003856,Std,ACORN-A,Affluent,0,16872.394,19.21664098,34.22392293,0,1
MAC003851,Std,ACORN-A,Affluent,0,6624.422,19.21664098,13.43696146,0,1
MAC003223,Std,ACORN-A,Affluent,0,10151.664,19.21664098,19.15408302,0,1
MAC003844,Std,ACORN-A,Affluent,0,7185.129998,19.21664098,14.5743002,0,1
MAC003826,Std,ACORN-A,Affluent,0,5233.688999,19.21664098,10.59451214,0,1
MAC003817,Std,ACORN-A,Affluent,0,10844.545,19.21664098,21.90817173,0,1
MAC003805,Std,ACORN-A,Affluent,0,6302.162,19.21664098,12.7316404,0,1
MAC003775,Std,ACORN-A,Affluent,0,13439.166,19.21664098,29.73266814,0,1
MAC003740,Std,ACORN-A,Affluent,0,5134.01,19.21664098,10.2885972,0,1
MAC003737,Std,ACORN-A,Affluent,0,5031.131001,19.21664098,10.08242686,0,1
MAC003719,Std,ACORN-A,Affluent,0,6820.188,19.21664098,13.640376,0,1
MAC003718,Std,ACORN-A,Affluent,0,3645.714,19.21664098,9.988257535,0,1
MAC003686,Std,ACORN-A,Affluent,0,8130.503003,19.21664098,16.22854891,0,1
MAC000450,Std,ACORN-A,Affluent,0,30352.305,19.21664098,72.26739285,0,1
MAC003840,Std,ACORN-A,Affluent,1,5334.751,19.21664098,10.79909109,0,1
MAC003212,Std,ACORN-A,Affluent,1,6540.027,19.21664098,12.33967358,0,1
MAC003182,Std,ACORN-A,Affluent,1,11467.668,19.21664098,21.4750337,0,1
MAC003166,Std,ACORN-A,Affluent,1,13734.991,19.21664098,23.76296021,0,1
MAC001628,Std,ACORN-A,Affluent,1,4307.335,19.21664098,6.709244548,0,1
MAC001533,Std,ACORN-A,Affluent,1,5014.706,19.21664098,7.738743828,0,1
MAC001528,Std,ACORN-A,Affluent,1,9374.714999,19.21664098,14.48951314,0,1
MAC001510,Std,ACORN-A,Affluent,1,15065.581,19.21664098,23.2493534,0,1
MAC001271,Std,ACORN-A,Affluent,1,10628.363,19.21664098,16.20177287,0,1
MAC001251,Std,ACORN-A,Affluent,1,11613.374,19.21664098,17.70331403,0,1
MAC001239,Std,ACORN-A,Affluent,1,7529.990998,19.21664098,11.47864481,0,1
MAC001145,Std,ACORN-A,Affluent,1,42592.30599,19.21664098,64.4361664,0,1
MAC000974,Std,ACORN-A,Affluent,1,4233.496,19.21664098,6.337568862,0,1
MAC000948,Std,ACORN-A,Affluent,1,8586.29,19.21664098,12.8345142,0,1
MAC001689,Std,ACORN-A,Affluent,1,12461.543,19.21664098,19.44078471,0,1
MAC000902,Std,ACORN-A,Affluent,1,13464.308,19.21664098,20.00640119,0,1
MAC000850,Std,ACORN-A,Affluent,1,10562.493,19.21664098,15.6713546,0,1
MAC000816,Std,ACORN-A,Affluent,1,3784.466,19.21664098,5.631645834,0,1
MAC000778,Std,ACORN-A,Affluent,1,13256.583,19.21664098,19.494975,0,1
MAC000379,Std,ACORN-A,Affluent,1,16787.1,19.21664098,33.11065089,0,1
MAC000768,Std,ACORN-A,Affluent,1,7863.598999,19.21664098,11.56411618,0,1
MAC000713,Std,ACORN-A,Affluent,1,8079.217999,19.21664098,11.86375624,0,1
MAC000386,Std,ACORN-A,Affluent,1,8221.818999,19.21664098,11.45100139,0,1
MAC000569,Std,ACORN-A,Affluent,1,24947.264,19.21664098,36.20793033,0,1
MAC000557,Std,ACORN-A,Affluent,1,44660.90301,19.21664098,64.81988826,0,1
MAC000535,Std,ACORN-A,Affluent,1,19053.085,19.21664098,27.61316667,0,1
MAC000886,Std,ACORN-A,Affluent,1,12709.084,19.21664098,18.88422585,0,1
MAC004529,Std,ACORN-A,Affluent,1,6151.58,19.21664098,7.679875156,0,1
MAC001710,Std,ACORN-A,Affluent,1,10428.723,19.21664098,16.34596081,0,1
MAC001776,Std,ACORN-A,Affluent,1,2944.199,19.21664098,4.658542722,0,1
MAC003110,Std,ACORN-A,Affluent,1,5169.021,19.21664098,7.903701835,0,1
MAC003072,Std,ACORN-A,Affluent,1,10901.585,19.21664098,16.64364122,0,1
MAC002937,Std,ACORN-A,Affluent,1,8698.582001,19.21664098,14.33044811,0,1
MAC002924,Std,ACORN-A,Affluent,1,10022.941,19.21664098,16.5395066,0,1
MAC002813,Std,ACORN-A,Affluent,1,4403.564,19.21664098,6.682191199,0,1
MAC002628,Std,ACORN-A,Affluent,1,30950.34199,19.21664098,46.40231183,0,1
MAC002613,Std,ACORN-A,Affluent,1,11222.162,19.21664098,43.16216155,0,1
MAC002601,Std,ACORN-A,Affluent,1,20003.321,19.21664098,33.39452587,0,1
MAC002563,Std,ACORN-A,Affluent,1,7041.224,19.21664098,11.73537333,0,1
MAC002562,Std,ACORN-A,Affluent,1,5025.204,19.21664098,8.375339999,0,1
MAC001734,Std,ACORN-A,Affluent,1,20410.847,19.21664098,31.9919232,0,1
MAC002314,Std,ACORN-A,Affluent,1,9597.124999,19.21664098,14.19693047,0,1
MAC002249,Std,ACORN-A,Affluent,1,8747.123001,19.21664098,13.19324736,0,1
MAC002150,Std,ACORN-A,Affluent,1,8395.925,19.21664098,13.54181452,0,1
MAC002068,Std,ACORN-A,Affluent,1,9603.919001,19.21664098,16.8489807,0,1
